Date,Open,High,Low,Close,Adj Close,Volume
2019-05-01,13.280000,13.310000,13.060000,13.220000,13.220000,25771500
2019-05-02,12.920000,12.940000,12.690000,12.820000,12.820000,42308900
2019-05-03,12.870000,13.010000,12.850000,12.870000,12.870000,26193800
2019-05-06,12.790000,13.110000,12.790000,13.070000,13.070000,37932000
2019-05-07,12.780000,12.850000,12.630000,12.730000,12.730000,29944900
2019-05-08,12.780000,12.980000,12.750000,12.890000,12.890000,23150000
2019-05-09,12.820000,12.870000,12.680000,12.810000,12.810000,19192100
2019-05-10,12.800000,12.930000,12.790000,12.840000,12.840000,18828900
2019-05-13,13.140000,13.190000,12.640000,12.680000,12.680000,38790700
2019-05-14,12.840000,12.950000,12.810000,12.870000,12.870000,20288200
2019-05-15,12.770000,13.010000,12.760000,12.970000,12.970000,22020300
2019-05-16,13.100000,13.240000,13.080000,13.140000,13.140000,19661900
2019-05-17,13.160000,13.260000,13.030000,13.080000,13.080000,23587700
2019-05-20,13.120000,13.220000,13.030000,13.150000,13.150000,21460900
2019-05-21,13.110000,13.170000,13.050000,13.130000,13.130000,14720100
2019-05-22,12.990000,13.050000,12.690000,12.740000,12.740000,27554600
2019-05-23,12.370000,12.370000,11.920000,12.090000,12.090000,45571600
2019-05-24,12.220000,12.240000,11.950000,12.230000,12.230000,21527100
2019-05-28,12.370000,12.370000,12.200000,12.230000,12.230000,23403900
2019-05-29,12.030000,12.280000,11.830000,12.240000,12.240000,36105900
2019-05-30,12.280000,12.290000,11.720000,11.760000,11.760000,29481700
2019-05-31,11.450000,11.535000,11.040000,11.100000,11.100000,39263132
