Date,Open,High,Low,Close,Adj Close,Volume
2019-05-01,79.940002,80.260002,78.620003,78.669998,77.778465,13909800
2019-05-02,78.279999,78.500000,77.239998,77.290001,76.414108,15360400
2019-05-03,77.790001,78.209999,77.440002,77.470001,76.592064,12180700
2019-05-06,76.919998,77.660004,76.709999,77.129997,76.255913,13367100
2019-05-07,76.500000,76.790001,75.769997,76.720001,75.850563,13498800
2019-05-08,76.540001,77.290001,76.419998,76.839996,75.969200,11352900
2019-05-09,76.349998,76.879997,75.959999,76.769997,75.899994,13221600
2019-05-10,76.180000,76.790001,75.169998,76.559998,76.559998,11056000
2019-05-13,75.650002,76.230003,75.360001,75.709999,75.709999,12176100
2019-05-14,76.129997,76.800003,75.760002,75.809998,75.809998,10548400
2019-05-15,75.570000,76.550003,75.209999,76.370003,76.370003,8918000
2019-05-16,76.400002,76.949997,76.220001,76.360001,76.360001,8105200
2019-05-17,75.650002,76.300003,75.589996,75.910004,75.910004,9279400
2019-05-20,76.050003,76.360001,75.669998,75.900002,75.900002,7154300
2019-05-21,76.269997,76.459999,75.930000,76.250000,76.250000,8489900
2019-05-22,76.019997,76.220001,75.389999,75.559998,75.559998,7858300
2019-05-23,74.769997,74.800003,73.040001,73.790001,73.790001,14657200
2019-05-24,74.139999,74.250000,73.440002,74.099998,74.099998,7056400
2019-05-28,74.239998,74.250000,72.489998,72.610001,72.610001,14912900
2019-05-29,71.889999,72.430000,71.620003,72.160004,72.160004,13645200
2019-05-30,72.019997,72.129997,71.529999,71.970001,71.970001,9359900
2019-05-31,71.190002,71.550003,70.629997,70.769997,70.769997,11992966
